№,Учреждение,Регион,Адрес,год,Размер иного межбюджетного трансферта руб
204,Детская библиотека Муниципальное казённое учреждение «Централизованная библиотечная система Кочковского района»,Новосибирская область,"Новосибирская область, 632491, Кочковский район, с. Кочки, ул. Советская, д. 9",2020,5000000
205,Детская библиотека муниципального казенного учреждения культуры «Венгеровская Централизованная библиотечная система»,Новосибирская область,"Новосибирская область, 632241, Венгеровский район, с. Венгерово ул. Ленина, 54",2020,5000000
206,Центральная районная библиотека МБУ «Исилькульская централизованная библиотечная система» Исилькульского муниципального района Омской области,Омская область,"Омская область, 646024, г. Исилькуль, ул. Коновалова, д. 20А",2020,10000000
207,Новоуральская библиотека (сельская) МУК «Таврическая центральная межпоселенческая библиотека имени Рябинина К. А.» Таврического муниципального района Омской области,Омская область,Новоуральская библиотека (сельская) МУК «Таврическая центральная  межпоселенческая библиотека имени  Рябинина К. А.» Таврического  муниципального района Омской области,2020,5000000
208,Центральная городская библиотека им. А. С. Пушкина Муниципального казенного учреждения культуры «Централизованная библиотечная система города Орла»,Орловская область,"""Орловская область, 302026, г. Орел, ул.  Комсомольская, д.65""",2020,10000000
209,Детская библиотека №1 Муниципального бюджетного учреждения «Централизованная библиотечная система г. Мценска»,Орловская область,"Орловская область, 303031, г. Мценск, ул. Катукова, д. 4.",2020,5000000
210,Муниципальное бюджетное учреждение культуры «Межпоселенческая центральная районная библиотека имени Тихона Захаровича Семушкина Лунинского района Пензенской области»,Пензенская область,"Пензенская область, Лунинский район, р.п. Лунино, улица Советская, дом 39",2020,10000000
211,Муниципальное бюджетное учреждение культуры Кузнецкого района Пензенской области «Межпоселенческая центральная районная библиотека» - структурное подразделение «Махалинская сельская библиотека,Пензенская область,"Пензенская область, 442519, Кузнецкий  район, село Махалино, ул. Рабочий  городок совхоза, д. 15",2020,5000000
212,Островская центральная районная библиотека МБУК «Островская центральная районная библиотека» муниципального образования «Островский район»,Псковская область,"""Псковская область, 181350, г. Остров,  улица Спартака, дом 7""",2020,10000000
213,Порховская центральная районная библиотека МБУК «Порховская централизованная библиотечная система»,Псковская область,"Псковская область, г. Порхов, проспект Ленина дом 32- А",2020,10000000
214,Библиотека микрорайона Любятово «БиблиоЛюб» МАУК «Централизованная библиотечная система» г. Пскова,Псковская область,"Псковская область, 180014, г. Псков, ул. Николая Васильева, дом 83-а",2020,5000000
215,Центральная городская детская библиотека им. Н.К. Крупской муниципального бюджетного учреждения культуры «Централизованная библиотечная система»,Ростовская область,"346880, Ростовская область, город Батайск, ул. Коваливского, 74а",2020,10000000
216,Детский библиотечно-информационный центр имени Н. Островского – филиал №1 муниципального бюджетного учреждения культуры Централизованная библиотечная система г. Таганрога,Ростовская область,"Ростовская область,347909, город Таганрог, улица Щаденко, дом 20-а",2020,5000000
217,Филиал № 36 Детская библиотека имени А.С. Пушкина муниципального бюджетного учреждения культуры Ростовской-на-Дону городской централизованной библиотечной системы,Ростовская область,"г. Ростов-на-Дону, площадь Свободы, 4",2020,5000000
218,"Городской отдел имени А.С. Пушкина муниципального бюджетного учреждения культуры Аксайского района ""Межпоселенческая центральная бибилотека имени М.А. Шолохова""",Ростовская область,"Ростовская область, 346720, г. Аксай, ул. Гулаева, 105",2020,5000000
219,Муниципальное бюджетное учреждение культуры «Центральная библиотека им. Л.А. Малюгина»,Рязанская область,"Рязанская обл., 391300, г. Касимов, ул. К. Либкнехта, д. 6",2020,10000000
220,Филиал – центральная детская библиотека муниципального бюджетного учреждения культуры «Центральная библиотека Рыбновского муниципального района Рязанской области»,Рязанская область,"391110 Рязанская область, Рыбновский район, г. Рыбное, ул. Почтовая, д. 8",2020,5000000
221,Ижевская сельская библиотека с детским отделением Муниципального бюджетного учреждения культуры «Центральная библиотека Спасского района»,Рязанская область,"Рязанская область, 391071, Спасский  район, с. Ижевское, ул. Красная, д.94",2020,5000000
222,Центральная библиотека им. А.С. Пушкина муниципального бюджетного учреждения культуры «Библиотечная информационная сеть» городского округа Новокуйбышевск Самарской области,Самарская область,"446200 Самарская область, город Новокуйбышевск, Библиотечный проезд, дом 1",2020,10000000
223,Краснинская центральная районная библиотека муниципального бюджетного учреждения культуры «Краснинская централизованная библиотечная система» муниципального образования «Краснинский район» Смоленской области,Смоленская область,"216100 Смоленская область, пгт. Красный, ул. Карла Маркса, д.19",2020,10000000
224,"Детская библиотека-филиал районного муниципального бюджетного учреждения культуры ""Знаменская централизованная библиотечная система""",Тамбовская область,"393400 Тамбовская область, Знаменский район, р.п.Знаменка, ул.Советская, 3",2020,5000000
225,Центральная районная библиотека МКУК «Ефремовская централизованная библиотечная система»,Тульская область,"Тульская область, 301840, город Ефремов, ул. Лермонтова д. 19",2020,10000000
226,Обособленное подразделение «Первомайская сельская библиотека № 31» МБУК «Новомосковская библиотечная система»,Тульская область,"Тульская область, 301691,  Новомосковский район, пос.  Первомайский, ул. Школьная, д. 5",2020,5000000
227,Центральная библиотека муниципального автономного учреждения культуры «Ишимская городская централизованная библиотечная система»,Тюменская область,"Тюменская область, 627754, г. Ишим, ул. М.Горького, 122, строение 1",2020,10000000
228,Центральная городская специализированная библиотека «Центр литературного краеведения им. И.А. Гончарова» муниципального бюджетного учреждения культуры «Централизованная библиотечная система,Ульяновская область,"432048 Ульяновская область, г. Ульяновск, улица Кирова, дом 40",2020,10000000
229,Детская библиотека муниципального учреждения культуры «Централизованная библиотечная система» администрации муниципального образования «Сенгилеевский район» Ульяновской области,Ульяновская область,"Ульяновская область, 433380 г. Сенгилей, ул. В.Носова, д.13 а",2020,5000000
230,Центральная городская детская библиотека МБУК «Централизованная библиотечная система г. Димитровграда»,Ульяновская область,"Ульяновская область, 433513, город Димитровград, улица Западная, дом 7",2020,5000000
231,Центральная городская библиотека имени Б.А. Ручьёва муниципального бюджетного учреждения культуры «Объединение городских библиотек» г. Магнитогорска,Челябинская область,"Челябинская область, 455037, город Магнитогорск, ул. Советской Армии, дом № 23",2020,10000000
232,Филиал «Детская библиотека» центральной районной библиотеки муниципального бюджетного учреждения «Межпоселенческая централизованная библиотечная система» Еманжелинского муниципального района,Челябинская область,"Челябинская область, 456580 г.Еманжелинск ул. Ленина д.6",2020,5000000
233,Каслинская центральная детская библиотека Муниципальное Учреждение Культуры «Межпоселенческая Центральная библиотека Каслинского Муниципального Района»,Челябинская область,"Челябинская область, 456830, г.Касли, ул. Ленина, д.16",2020,5000000
234,Библиотека семейного чтения №2 «Аист» муниципального бюджетного учреждения культуры «Централизованная библиотечная система Златоустовского городского округа»,Челябинская область,"Челябинская область, 456234, Златоустовский городской округ, город Златоуст, Северо-Западный район, 1квартал, д.16",2020,5000000
235,Филиал «Детская библиотека» муниципального бюджетного учреждения культуры «Централизованная библиотечная система Угличского муниципального района»,Ярославская область,"Ярославская область, 152613, Угличский район, город Углич, улица Победы, дом 5",2020,5000000
236,Детская библиотека муниципального бюджетного учреждения культуры «Пошехонская централизованная библиотечная система»,Ярославская область,"Ярославская область, 152850, Пошехонский район, город Пошехонье, улица Преображенского, дом 3",2020,5000000
237,Детская библиотека - подразделение муниципального учреждения культуры «Любимская централизованная библиотечная система»,Ярославская область,"Ярославская область, 152470, Любимский район, город Любим, улица Октябрьская, дом 11",2020,5000000
238,"Библиотека-филиал №15 им. М.С. Петровых муниципального учреждения культуры ""Централизованная библиотечная система города Ярославля",Ярославская область,"Ярославская область, 150060, город Ярославль, Ленинградский проспект, дом 117, корпус 2",2020,5000000
239,Филиал № 4 муниципального бюджетного учреждения «Центральная городская библиотека и ее филиалы», Еврейская автономная область,"Еврейская автономная область, 679006, г.Биробиджан, ул.Юбилейная 9",2020,5000000
240,Центральная городская библиотека им А. И. Харизовой муниципального бюджетного учреждения «Централизованная библиотечная система г. Югорска»,Ханты-Мансийский автономный округ - Югра,"628260, ХМАО-Югра, г.Югорск, ул. Механизаторов дом 6",2020,10000000
241,Библиотека поселка городского типа Высокий муниципального бюджетного учреждения «Централизованная библиотечная система» города Мегиона,Ханты-Мансийский автономный округ - Югра,"628690, Ханты-Мансийский автономный  округ – Югра, Тюменская область,  поселок Высокий, улица Ленина, дом 6  «А»",2020,5000000
242,Городская библиотека №8 муниципального бюджетного учреждения «Библиотечно-информационная система»,Ханты-Мансийский автономный округ - Югра,"628616 Ханты-Мансийский автономный округ - Югра, г. Нижневартовск, ул. Интернациональная, д. 3",2020,5000000
243,Леушинская библиотека-филиал №2 имени Нины Викторовны Лангебах муниципального учреждения культуры «Кондинская межпоселенческая централизованная библиотечная система»,Ханты-Мансийский автономный округ - Югра,"Ханты-Мансийский автономный округ-  Югра, Кондинский район, с.Леуши,  ул. Советская, д. 58",2020,5000000
244,Центральная библиотека муниципального бюджетного учреждения «Централизованная библиотечная система города Губкинского», Ямало-Ненецкий автономный округ ,"629830 Россия, Ямало-Ненецкий автономный округ, город Губкинский, мкр.7, дом 30",2020,10000000
111,Центральная городская детско-юношеская библиотека МБУК «Централизованная библиотечная система  Советского городского округа»,Калининградская область,"Калининградская область, г.Советск, ул.Баумана, д.6",2019,10000000
112,Бабынинская центральная районная библиотека  муниципального казенного учреждения культуры  «Бабынинская межпоселенческая централизованная  библиотечная система»,Калужская область,"Калужская область, Бабынинский район, п.Бабынино, ул.Ленина, д.17",2019,10000000
113,Центральная районная библиотека муниципального казенного учреждения «Межпоселенческая  централизованная библиотечная система» отдела культуры администрации муниципального района  «Сухиничский район»,Калужская область,"Калужская область, 249275, Сухиничский район, город Сухиничи, улица Лобачева, дом 2",2019,10000000
114,"Дворцовская сельская модельная библиотека, филиал районного муниципального казенного учреждения  культуры «Дзержинская межпоселенческая центральная библиотека»",Калужская область,"Калужская область Дзержинский район, село Дворцы ул. Фёдорова дом 14",2019,5000000
115,Районная центральная библиотека им. М.А.Небогатова муниципального бюджетного учреждения «Районная  Централизованная библиотечная система Гурьевского района»,Кемеровская область,"652780, Кемеровская область, г.Гурьевск, ул. Кирова, 3",2019,10000000
117,Центральная библиотека Межпоселенческого  муниципального бюджетного учреждения культуры  Централизованной библиотечной системы Гагинского  муниципального района,Нижегородская область," 607870, Нижегородская область, Гагинский район, с.Гагино,  ул. Школьная, д.1.",2019,10000000
118,Городская детская библиотека Муниципального  бюджетного учреждения культуры «Централизованная  библиотечная система городского округа город Выкса»,Нижегородская область,"607060, Нижегородская обасть, г. Выкса, м-он Центральный, 20 ",2019,5000000
119,Детская библиотека им. Ю.Гагарина Муниципального  бюджетного учреждения «Централизованная  библиотечная система» города Дзержинск,Нижегородская область,"б-р Химиков, 3, Дзержинск, Нижегородская обл., 606031",2019,5000000
120,Центральная городская библиотека им. М.А. Шолохова  муниципального учреждения культуры г.Зверево  «Централизованная библиотечная система»,Ростовская область,"Ростовская область, 346311, г.Зверево, Обухова, 7-ж",2019,10000000
121,"Старочеркасский отдел муниципального бюджетного  учреждения культуры Аксайского района  «Межпоселенческая центральная библиотека им.  М.А.Шолохова» Ростовская область, 346701, станица Старочеркасская, улица Малосадовая, д. 28  ",Ростовская область,"Ростовская область, 346701, станица Старочеркасская, улица Малосадовая, д. 28  ",2019,5000000
122,Центральная детская библиотека им. В.Дубинина  Муниципального бюджетного учреждения культуры  «Керченская Централизованная библиотечная система»  города Керчи,Республика Крым,"город Керчь, ул. Советская, д. 17",2019,5000000
123,Центральная городская библиотека муниципального бюджетного учреждения культуры городского округа  Краснотурьинск «Централизованная библиотечная система»,Свердловская область,"624440, Свердловская область,  город Краснотурьинск, улица Бульвар Мира, дом 3",2019,10000000
124,Библиотека для детей и молодежи муниципального бюджетного учреждения культуры  «Верхнепышминская централизованная библиотечная система»,Свердловская область,"Свердловская область, г. Верхняя Пышма, пр-т Успенский, 18",2019,5000000
125,МБУК «Грачевская межпоселенческая центральная районная библиотека» структурное подразделение  «Кугультинская сельская библиотека»,Ставропольский край,"Ставропольский край, 356264 с. Кугульта, ул. Советская, 53",2019,5000000
126,Нижнеспасская сельская библиотека – филиал  МБУК «Межпоселенческая библиотека Рассказовского  района»,Тамбовская область,"Тамбовская область, 393273,  Рассказовский район, с.Нижнеспасское,  ул. Коммунальная, д. 2",2019,5000000
127,Коптевская сельская библиотека – филиал МБУК  «Межпоселенческая библиотека Рассказовского  района»,Тамбовская область,"Тамбовская область, 393276,  Рассказовский район, село Коптево, ул.Молодёжная, д. 20",2019,5000000
128,Отдел-специализированная библиотека №18 «Семейная  библиотека» Муниципальное бюджетное учреждение  культуры «Централизованная библиотечная система»,Ульяновская область,"432029 г. Ульяновск, ул. Корунковой, д. 25",2019,5000000
129,Отдел-специализированная библиотека №12 им.  В.И.Даля Муниципальное бюджетное учреждение  культуры «Централизованная библиотечная система»,Ульяновская область,"4320431 Ульяновская область, г.Ульяновск, пр.Заводской, 27-а",2019,5000000
130,Библиотека-филиал №2 муниципального бюджетного  учреждения культуры «Объединение городских  библиотек» ,Челябинская область,"г. Магнитогорска, Челябинская область, город Магнитогорск, просп. К. Маркса, 186",2019,5000000
131,Межпоселенческая центральная библиотека  муниципального казенного учреждения «Центральная  районная библиотека» Урус-Мартановского района   ,Чеченская Республика,"Урус-Мартановский район г. Урус-Мартан, ул. С-Х Яндарова дом. 40  ",2019,10000000
132,Библиотека-филиал №23 Муниципального бюджетного  учреждения «Центральная библиотечная система»  г. Грозного,Чеченская Республика,"г. Грозный, ул. Шахтеров, дом 113.",2019,5000000
133,Сельская библиотека с. Герменчук – филиал №4  Муниципального бюджетного учреждения  «Централизованная библиотечная система»  Шалинского муниципального района ,Чеченская Республика,"с. Герменчук, Шалинского района, ул. А. Кадырова, 69",2019,5000000
134,Центральная детская библиотека – филиал №1  муниципального казенного учреждения «Аргунская  городская библиотека» ,Чеченская Республика,"г.Аргун, ул.Титова, дом. 10 ",2019,5000000
245,Муниципальное бюджетное учреждение культуры  «Гиагинская межпоселенческая централизованная  библиотечная система» муниципального образования  «Гиагинский район» Центральная районная библиотека,Республика Адыгея (Адыгея),"Республика Адыгея,  Гиагинский район,  ст. Гиагинская,  ул. Почтовая, 30  ",2020,10000000
246,Муниципальное казенное учреждение культуры  «Теучежская межпоселенческая централизованная  библиотечная система» Вочепшийская сельская  библиотека-филиал №2,Республика Адыгея (Адыгея),"385274, Республика Адыгея, Теучежский район, аул Вочепший, ул. Ленина, 47",2020,5000000
247,Муниципальное казенное учреждение культуры  «Межпоселенческая централизованная библиотечная  система» МО «Кошехабльский район» Блечепсинская  сельская библиотека - филиал №1,Республика Адыгея (Адыгея),"385132, Республика Адыгея, Кошехабльский  район, аул Кошехабль, улица Ленина, 40",2020,5000000
248,Андреевская сельская библиотека муниципального  бюджетного учреждения культуры «Централизованная  библиотечная система» муниципального района  Илишевский район Республики Башкортостан,Республика Башкортостан,"452271, Россия, Республика Башкортостан,  Илишевский район, село Андреевка,  Советская улица, 41",2020,5000000
249,Муниципальное автономное учреждение  «Централизованная библиотечная система г. Улан-Удэ»  Библиотека - филиал № 12,Республика Бурятия,"670049, Республика Бурятия, г. Улан-Удэ, 113 мкр.,  д.2",2020,5000000
250,Ленинская Центральная детская библиотека  Муниципального бюджетного учреждения культуры  Ленинского района Республики Крым «Централизованная  библиотечная система»,Республика Крым,"298200, Республика Крым, Ленинский район,  п. Ленино, ул. Дзержинского, д. 4  ",2020,5000000
251,Центральная библиотека муниципального бюджетного  учреждения культуры «Централизованная библиотечная  система» Рузаевского муниципального района Республики  Мордовия,Республика Мордовия,"431444, Рекспублика Мордовия,  г. Рузаевка,  ул. Куйбышева, д. 89",2020,10000000
252,Филиал «Кочелаевская библиотека» муниципального  бюджетного учреждения «Централизованная библиотечная  система Ковылкинского муниципального района»,Республика Мордовия,"431310, Республика Мордовия, Ковылкинский район, с. Кочелаево, ул. Ленина, д. 2а",2020,5000000
253,Хомустахская сельская библиотека ‒ филиал №2  муниципального бюджетного учреждения «Намская  межпоселенческая централизованная библиотечная  система» Намского улуса Республики Саха (Якутия),Республика Саха (Якутия),"Республика Саха (Я) Намский улус, с.  Кысыл-Сыр, ул. Аммосова 74, корп.1",2020,5000000
254,Сельская модельная библиотека-филиал № 13  «Библиополе» муниципального бюджетного учреждения  «Централизованная библиотечная система» городского  округа «город Якутск»,Республика Саха (Якутия),"Республика Саха (Якутия),  677904  город Якутск  село Маган  улица Алымова, дом 3/1",2020,5000000
255,Бейдигинский сельский филиал №4 Муниципального  казенного учреждения «Усть-Алданская  межпоселенческая централизованная библиотечная  система»,Республика Саха (Якутия),"Республика Саха (Якутия) , 678353, Усть-  Алданский, с. Бейдинга, ул. М.Н. Пестрякова,  9",2020,5000000
256,Районная библиотека муниципального бюджетного  учреждения культуры «Межпоселенческая центральная  библиотека Сарапульского района»,Удмуртская Республика,"427990, Удмуртская республика, Сарапульский район,  с. Сигаево, ул. Лермонтова, д.32",2020,10000000
257,Центральная городская библиотека им. Н.К. Крупской  муниципального бюджетного учреждения культуры  «Централизованная библиотечная система»,Удмуртская Республика,"427970, Удмуртская Республика, 427970, г. Сарапул,  ул. Советская, д.69",2020,10000000
258,Центральная детская библиотека муниципального  бюджетного учреждения культуры «Централизованная  библиотечная система города Глазова»,Удмуртская Республика,"427621, Удмуртская Республика, г. Глазов,  ул. Короленко, д. 8",2020,5000000
259,Алхан-Калинская библиотека - филиал № 11  Муниципального бюджетного учреждения  «Централизованная библиотечная система» Грозненского  муниципального района,Чеченская Республика,"366005, Чеченская Республика, Грозненский район, село Алхан-Кала, площадь Советская, 14",2020,5000000
260,Муниципальное бюджетное учреждение  «Централизованная библиотечная система Шатойского  муниципального района»  А.-Шериповская сельская библиотека-филиал №1,Чеченская Республика,"366400, Чеченская Республика, Шатойский район, село А-Шерипова, ул. Школьная, 8 ",2020,5000000
261,Центральная районная библиотека Муниципального  бюджетного учреждения культуры «Централизованная  библиотечная система» Мариинско-Посадского района,Чувашская Республика – Чувашия,"429570, Чувашская Республика, 429570,  Мариинско-Посадский район,  г. Мариинский Посад, ул.Ленинская, д. 2",2020,10000000
262,Торханская сельская библиотека структурное  подразделение МБУ «Централизованная система  библиотечного и архивного дела Шумерлинского района»  Чувашской Республики,Чувашская Республика – Чувашия,"429103, Чувашская Республика, Шумерлинский  район, д. Торханы, ул. Октябрьская, дом 5",2020,5000000
263,Библиотека-филиал №23 с. Малета Муниципального  учреждения культуры «Централизованная библиотечная  система муниципального района «Петровск-  Забайкальский район»,Забайкальский край,"673014, Забайкальский край, Петровск –  Забайкальский район, с. Малета, ул.  Комсомольская, д. 47",2020,5000000
264,Структурное подразделение Библиотека № 3 МБУК  «ЦБС» г. Читы,Забайкальский край,"672014, Забайкальский край, г. Чита,  Железнодорожный район, ул.  Байкальская, 17, пом.1",2020,5000000
265,Библиотека–филиал № 2 муниципального бюджетного  учреждения культуры «Централизованная библиотечная  система» г. Боготола,Красноярский край,"663060, Красноярский край, 663060, г. Боготол,  ул. Кирова, д. 135",2020,5000000
266,Центральная библиотека Муниципального бюджетного  учреждения «Кизеловская библиотека»,Пермский край,"Пермский край, г. Кизел, ул.  К.Либкнехта, д. 24, офис 1А",2020,10000000
267,"Муниципальное казенное учреждение «Октябрьская  централизованная библиотечная система», Октябрьская  детская библиотека",Пермский край,"617860 Пермский край, Октябрьский район,  р.п. Октябрьский, ул. Кирова, 20",2020,5000000
268,"Муниципальная библиотека № 25 им. М.А. Осоргина  муниципального бюджетного учреждения культуры  города Перми ""Объединение муниципальных библиотек""",Пермский край,"г. Пермь, ул. Серпуховская, 8",2020,5000000
269,Центральная городская библиотека им. М. Горького  Муниципального бюджетного учреждения культуры  «Централизованная библиотечная система города  Пятигорска»,Ставропольский край,"357500, Ставропольский край, г. Пятигорск, ул. Козлова, 1",2020,10000000
270,Библиотека-филиал № 13 им. И.В. Кашпурова  муниципального бюджетного учреждения культуры  «Ставропольская централизованная библиотечная  система»,Ставропольский край,"355038, г. Ставрополь, ул. Ленина, 474",2020,5000000
271,"Районная детская библиотека муниципального казенного  учреждения культуры ""Централизованная библиотечная  система Изобильненского городского округа  Ставропольского края"" город Изобильный",Ставропольский край,"356140, Ставропольский край, г. Изобильный, ул. Сиреневая, д.17",2020,5000000
272,Филиал № 7 Муниципального казенного учреждения  культуры «Межпоселенческая библиотека Предгорного  муниципального района» Ставропольского края,Ставропольский край,"357380, Ставропольский край, Предгорный район,  с.Юца, ул. Луценко, 119",2020,5000000
273,Центральная районная библиотека муниципального  учреждения культуры «Муниципальная библиотечная  система Котласского муниципального района»,Архангельская область,"165320, Архангельская область, Котласский район,  п. Шипицыно, ул. Северная, д. 100",2020,10000000
274,Яренская центральная библиотека муниципального  бюджетного учреждения культуры «Ленская  межпоселенческая библиотека»,Архангельская область,"165780, Архангельская область, Ленский район, с.  Яренск, ул. Братьев Покровских, д.31",2020,10000000
275,Красноэховская библиотека-филиал муниципального  бюджетного учреждения культуры «Межпоселенческая  центральная библиотека Гусь-Хрустального района»,Владимирская область,"601566, Гусь-Хрустальный район, п/о Красное Эхо, ул. Почтовая, д. 1",2020,5000000
276,Детская библиотека - структурное подразделение  Муниципального бюджетного учреждения культуры  «Юрьев-Польская Централизованная Библиотечная  Система»,Владимирская область,"601800, Владимирская область, Юрьев — Польский район, г. Юрьев — Польский, ул. Шибанкова, д. 86.",2020,5000000
277,Центральная детская библиотека Муниципального  бюджетного учреждения культуры «Централизованная  библиотечная система Меленковского района»,Владимирская область,"602102, Владимирская обл, Меленковский р-н, г Меленки, ул Герцена, д. 5",2020,5000000
278,Центральная библиотека муниципального казенного  учреждения культуры «Палласовская межпоселенческая  централизованная библиотечная система» Палласовского  муниципального района Волгоградской области,Волгоградская область,"404264, Волгоградская обл., г. Палласовка,  пл.Ленина, д.1",2020,10000000
279,Муниципальное бюджетное учреждение культуры  «Межпоселенческая центральная библиотека Усть-  Удинского района им. В. Г. Распутина»,Иркутская область,"666352, Иркутская область, р. п. Усть-Уда, ул. Школьная, 1",2020,10000000
280,Библиотека «Интеллект - Центр» Муниципальное  бюджетное учреждение культуры «Централизованная  библиотечная система г. Черемхово»,Иркутская область,"665415, Иркутская область, г. Черемхово, ул. Ф. Патаки, 1/в",2020,5000000
281,Центральная районная библиотека муниципального  казенного учреждения культуры «Межпоселенческая  централизованная библиотечная система Перемышльского  района»,Калужская область,"249130, Калужская область с. Перемышль, ул. Ленина, д. 54",2020,10000000
282,Городская библиотека № 4 муниципального казенного  учреждения «Централизованная библиотечная система»,Калужская область,"249440 Калужская область, г. Киров, ул. Ленина  д. 17",2020,5000000
283,Библиотека №17 «Островок знаний» Муниципального  бюджетного учреждения культуры «Централизованная  библиотечная система» г. Прокопьевска,Кемеровская область - Кузбасс,"Кемеровская область - Кузбасс, 653035,  г. Прокопьевск, ул. Пионерская, 68а",2020,5000000
284,Центральная районная библиотека им. Г.И. Обатурова  муниципального казенного учреждения культуры  «Централизованная библиотечная система» Нагорского  района Кировской области,Кировская область,"613260 Кировская область, Нагорский район, пгт. Нагорск, ул. Леушина, 17",2020,10000000
285,Подосиновская центральная библиотека им. А.А. Филева  муниципального казенного учреждения культуры  «Подосиновская межмуниципальная библиотечная  система» Подосиновского района Кировской области,Кировская область,"613930, Кировская область, пгт Подосиновец ул. Тестова, 10",2020,10000000
286,Муниципальное учреждение культуры «Библиотечно-  информационный центр» города Галича Костромской  области,Костромская область,"157202, Костромская область, г. Галич, ул.  Машиностроителей, д. 7",2020,5000000
287,Библиотека-филиал № 1 муниципального бюджетного  учреждения культуры «Централизованная система  библиотек города Курска»,Курская область,"305038, г. Курск, ул. Рабочая, 10а/5",2020,5000000
288,Библиотечный информационно-культурный центр  (Центральная библиотека) Муниципального бюджетного  учреждения культуры «Централизованная библиотечная  система имени Андрея Белого»,Московская область,"""Московская область, 143980, г. Балашиха,   мкр. Железнодорожный,  ул. Пролетарская, д. 8""",2020,10000000
289,Решоткинская сельская библиотека им. Ю.П. Артюхина –  филиал МБУК «Клинская ЦБС»,Московская область,"Московская область, 141625, г.о. Клин, д. Решоткино, д. 57",2020,5000000
290,Библиотека-филиал № 1 с. Ловозеро Муниципального  бюджетного учреждения «Ловозерская межпоселенческая  библиотека»,Мурманская область,"Мурманская область, Ловозерский район, сп. Ловозеро, ул. Вокуева, д. 2",2020,5000000
291,Центральная районная библиотека муниципального  бюджетного учреждения культуры «Ветлужская районная  централизованная библиотечная система»,Нижегородская область,"Нижегородская обл., 606860, Ветлужский район,  г. Ветлуга, микрорайон, 24",2020,10000000
292,Городская детская библиотека муниципального  бюджетного учреждения культуры «Централизованная  библиотечная система городского округа город Выкса»,Нижегородская область,"Нижегородская область, 607062, город  Выкса, микрорайон Юбилейный, дом 8",2020,5000000
293,"Детская библиотека, филиал муниципального бюджетного  учреждения культуры Холмского муниципального района  «Межпоселенческая библиотечная система»",Новгородская область,"Новгородская обл., г. Холм, ул. Советская, д.10",2020,5000000
294,Мошковская центральная библиотека Муниципального  казенного учреждения культуры «Мошковская районная  централизованная библиотечная система»,Новосибирская область," 633131, Новосибирская область, р.п. Мошково, ул. Пушкина, 9",2020,10000000
295,Филиал «Библиотека им. В. В. Куйбышева»  муниципального казенного учреждения культуры города  Новосибирска «Централизованная библиотечная система  им. П. П. Бажова Ленинского района»,Новосибирская область,"630071, Новосибирская область, г Новосибирск, ул Колхидская, д. 11  ",2020,5000000
296,Городская библиотека № 2-филиал Муниципального  бюджетного учреждения культуры «Центральная  межпоселенческая библиотека» Калачинского района  Омской области,Омская область,"Омская область, Калачинский район,  город Калачинск, улица Южная, д. 17 а",2020,5000000
297,Славянская сельская библиотека - филиал № 18  Муниципального казенного учреждения культуры  «Нововаршавская ЦБС» Нововаршавского  муниципального района,Омская область,"646832, Омская обл., Нововаршавский  район, с. Славянка, ул. Рассохино,30",2020,5000000
298,"Центральная городская библиотека им. Л. Толстого  муниципального бюджетного учреждения культуры  города Бузулука ""Городская централизованная  библиотечная система""",Оренбургская область,"Оренбургская область, 461040, город Бузулук,  улица Маршала Егорова, дом №15",2020,10000000
299,"Центральная районная библиотека муниципального  бюджетного учреждения культуры ""Центральная  межпоселенческая библиотека"" Бугурусланского района  Оренбургской области",Оренбургская область,"Оренбургская область, Бугурусланский район, село  Михайловка, улица Полевая, дом 1 литера «В»",2020,10000000
300,"Центральная детская библиотека муниципального  бюджетного учреждения культуры Александровского  района Оренбургской области ""Централизованная  межпоселенческая библиотечная система""",Оренбургская область,"Оренбургская область, Александровский  район, с. Александровка, ул. Рощепкина, д. 11",2020,5000000
301,"Центральная детская библиотека муниципального  бюджетного учреждения культуры ""Гайская  централизованная библиотечная система"" Оренбургской  области",Оренбургская область,"Оренбургская область, г. Гай, ул. Ленина, д. 42",2020,5000000
302,Центральная городская библиотека имени С.А. Есенина  МБУК «Централизованная библиотечная система города  Рязани»,Рязанская область,"390013, г. Рязань, Первомайский проспект, 74к1  ",2020,10000000
303,"Библиотека № 17 - филиал Первоуральского  муниципального бюджетного учреждения культуры  ""Централизованная библиотечная система""",Свердловская область,"623150 Свердловская область, город Первоуральск, поселок Билимбай, улица Коммуны, 2",2020,5000000
304,Октябрьская библиотека-филиал МБУ «МЦБ Томского  района»,Томская область,"634583, Томская область, Томский район,  село Октябрьское, ул. Заводская, д. 7/2",2020,5000000
305,Детская библиотека № 15 Муниципального бюджетного  учреждения культуры «Централизованная библиотечная  система Златоустовского городского округа»,Челябинская область,"Челябинская область, г. Златоуст, ул. Дворцовая, 3",2020,5000000
306,"Центр детской и юношеской книги муниципального  бюджетного учреждения «Центральная городская  библиотека и её филиалы» муниципального образования  ""Город Биробиджан""",Еврейская автономная область,"ЕАО, г. Биробиджан, ул. Шолом-Алейхема, 34",2020,5000000
307,Муниципальное бюджетное учреждение  «Межпоселенческая центральная библиотека»  муниципального образования «Майминский район»,Республика Алтай,"649100, Республика Алтай, Майминский район, с  Майма, ул. Мира, 10",2021,10000000
