№,Учреждение,Регион,Адрес,год,Размер иного межбюджетного трансферта руб
79,Филиал №16 им. Х. Ямашева муниципального бюджетного учреждения «Библиотечная информационная система» г. Оренбурга (библиотека им. Х. Ямашева),Оренбургская область,"Оренбургская область  460000, г. Оренбург  ул. Ленинская, дом 4а  ",2019,5000000
80,Городская библиотека № 1- филиал МБУК «Библиотечная система Сорочинского городского округа»,Оренбургская область,"461903, Оренбургская область, Сорочинский  район, г. Сорочинск, ул. Карла Маркса, д. 173«а»  ",2019,5000000
81,Центральная городская детская библиотека муниципальное бюджетное учреждение культуры городского округа Самара «Централизованная система детских библиотек»,Самарская область,"443069, Самарская область, Железнодорожный район, г. Самара, Аэродромная, 16А",2019,10000000
82,Сергиевская центральная библиотека Муниципального бюджетного учреждения культуры «Межпоселенческая центральная библиотека» муниципального района Сергиевский,Самарская область,"446540, Самарская область, Сергиевский район, с. Сергиевск, ул. Советская, д.62",2019,10000000
83,Филиал №8 Муниципального бюджетного учреждения культуры городского округа Самара «Самарская муниципальная информационно-библиотечная система»,Самарская область,"443056, Самарская область, г. Самара,  Октябрьский район, ул. Н. Панова, дом 30  ",2019,5000000
84,Юношеская библиотека № 1 муниципального бюджетного учреждения культуры городского округа Тольятти «Библиотеки Тольятти»,Самарская область,"445035, Самарская область, город  Тольятти, ул. Голосова, 20  ",2019,5000000
85,Обшаровская сельская библиотека № 1 муниципального бюджетного учреждения муниципального района Приволжский Самарской области «Централизованная библиотечная система»,Самарская область,"445550, Самарская область, Приволжский район, с. Обшаровка, ул. Советская, дом 91",2019,5000000
86,Библиотека №18 - филиал муниципального бюджетного учреждения «Централизованная библиотечная система городского округа Сызрань»,Самарская область,"446031, Самарская область, г. Сызрань, проспект Гагарина, 99 «А»",2019,5000000
87,Библиотека имени И.А.Крылова №3 – филиал муниципального бюджетного учреждения «Централизованная библиотечная система» городского округа Октябрьск Самарской области,Самарская область,"445241, Самарская обл., г.Октябрьск,  ул.Мира, 94а  ",2019,5000000
88,Центральная городская детская библиотека им. Макаренко специализированная муниципального бюджетного учреждения «Централизованная библиотечная система» городского округа Октябрьск Самарской области,Самарская область,"445241, Самарская обл., г.Октябрьск,  ул.Гая, 52а  ",2019,5000000
89,Сергиевская центральная детская библиотека Муниципального бюджетного учреждения культуры «Межпоселенческая центральная библиотека» муниципального района Сергиевский Самарской области,Самарская область,"446540, Самарская область, Сергиевский район, с. Сергиевск, ул. Советская, д.62",2019,5000000
90,Районное муниципальное учреждение культуры «Ивантеевская межпоселенческая центральная библиотека»,Саратовская область,"413950, Саратовская область, с. Ивантеевска, ул. Коперативная, д.19Б",2019,10000000
91,Муниципальное бюджетное учреждение культуры «Питерская межпоселенческая центральная библиотека»,Саратовская область,"413320, Саратовская область, Питерский район, с. Питерка, ул. Ленина, 61",2019,10000000
92,Библиотека № 37 Муниципального учреждения культуры «Централизованная библиотечная система города Саратова»,Саратовская область,"410007,    Саратовская область, г. Саратов, улица Чехова,2  ",2019,5000000
93,Библиотека № 9 Муниципального учреждения культуры «Централизованная библиотечная система города Саратова»,Саратовская область,"410054, Саратовская область, г. Саратов, ул. Аткарская, 12/14",2019,5000000
94,Вязовская сельская библиотека Муниципального учреждения культуры «Межпоселенческая районная библиотека Татищевского муниципального района Саратовской области»,Саратовская область,"412181, Саратовская область, Татищевский район, с. Вязовка, ул. Совхозная, 1а",2019,5000000
95,Центральная детская библиотека МАУК «Балаковская городская центральная библиотека»,Саратовская область,"413849, Саратовская область, Балаковский район, г.Балаково, ул. Факел Социализма, 7",2019,5000000
96,Хвалынская детская библиотека-филиал МУК «Хвалынская МЦБ им. С.С.Наровчатова»,Саратовская область,"412780, Саратовская область, г. Хвалынск, ул. Советская, 81",2019,5000000
97,Районное муниципальное учреждение культуры «Краснопартизанская межпоселенческая центральная библиотека» Детская библиотека - филиал,Саратовская область,"413540, Саратовская область, Краснопартизанский район, р.п. Горный, ул. Краснопартизанская, д.17",2019,5000000
98,Сельский филиал № 20 МБУ «Централизованная библиотечная система Энгельсского муниципального района»,Саратовская область,"413162, Саратовская область, Энгельсский район, с. Генеральское, ул. Московская, 67",2019,5000000
99,Районная детская библиотека муниципального бюджетного учреждения Пышминского городского округа «Библиотечно-информационный центр»,Свердловская область,"623550, Свердловская область, Пышминский р-н, пгт. Пышма, ул. Куйбышева, д.42  ",2019,5000000
100,«Библиотека семейного чтения» - Филиал №8 Березовского муниципального бюджетного учреждения культуры «Централизованная библиотечная система»,Свердловская область,"623701, Свердловская область, г. Березовский, ул. Красных Героев, 7",2019,5000000
101,Студенческая сельская библиотека - филиал муниципального бюджетного учреждения культуры Белоярского городского округа «Белоярская центральная районная библиотека»,Свердловская область,"623550, Свердловская область, Пышминский р-н, пгт. Пышма, ул. Куйбышева, д.42",2019,5000000
